Date,GDP (current US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GNI (current US$),GNI (constant 2015 US$),GNI growth (annual %),"Exports of goods and services (BoP, current US$)",Exports of goods and services (constant 2015 US$),Exports of goods and services (annual % growth),"Imports of goods and services (BoP, current US$)",Imports of goods and services (constant 2015 US$),Imports of goods and services (annual % growth),"Inflation, consumer prices (annual %)","External debt stocks, total (DOD, current US$)",External debt (% of GDP),"GDP, PPP Growth (annual %)"
1973,6383429490.21091,37135575916.0458,7.06426385694019,99.2979315283758,577.665325548458,4.10633271200034,,,6304783732.14792,36678054528.28678,7.280268633676767,580177039.3910205,3375177641.43739,5.74691108293908,2204228621.6112366,12823091324.1372,-11.2259440935182,23.0700840250844,4566895944.2,71.54298408407905,
1974,8899191919.19192,38450246497.1252,3.54019171279742,134.532180127492,581.265752516486,0.623272128132271,,,8825591919.19192,38132247046.40143,3.9647482311068174,646235021.0821413,2792151925.85031,-17.2739268128946,3431543724.711381,14826481244.4675,15.6232991693613,26.6630348537488,5121326329.1,57.54821758653607,
1975,11230606060.6061,40069546188.4454,4.21141563147394,164.848095842385,588.159566348217,1.18600034526122,,,11135306065.6566,39729526466.55502,4.188789132226956,872941310.4808441,3114556950.11944,11.5468295719956,3891331337.6785264,13883834935.373,-6.35785587660092,20.9045094573998,5752876894.9,51.22499056466347,
1976,13168080808.0808,42135607957.715,5.15618958985205,187.496906570355,599.958054911438,2.00600130275464,,,13023880818.1818,41674192636.04093,4.894763019949311,1449756462.32426,3555345154.35018,14.1525170767494,2643864585.23064,14850100455.2972,6.95964425118831,7.15832373118468,6802351667.8,51.65788216932592,
1977,15126060606.0606,43798994631.4535,3.94769828741468,208.776120199417,604.531768445126,0.762338882901119,,,14945208942.4242,43275320870.58503,3.842013805828115,1438288315.30012,2930240804.61097,-17.5821002631589,2993490837.43284,16434402229.2115,10.6686266445371,10.1329676874054,7564124307.0,50.00723257692926,
1978,17811515151.5152,47324171439.3138,8.04853361937394,238.155832543428,632.766351019775,4.67048781361315,,,17630257535.3535,46842580377.07404,8.243172863251358,1805674972.18643,3304058885.75922,12.7572478193607,3855733112.82032,17556010303.0217,6.82475734843904,6.13869266742742,8329288878.1,46.76350555944388,
1979,19688383838.3838,49102819931.2023,3.75843556853248,254.347760613349,634.343194028616,0.249198303022879,,,19454758401.0101,48520158201.48001,3.58130959247287,2503912596.32101,3743809932.45434,13.3094191689648,5100889713.18864,22866086177.2749,30.2464841532889,8.26704697617572,8918890624.5,45.30026790270127,
1980,23654444444.4444,54119018689.3279,10.2157040372709,293.3918897736,671.251493699057,5.81834880832284,,,23372307730.303,53473517919.211525,10.208869676728336,3232901092.57224,4474110568.28958,19.5068833357274,6347873098.03869,23781781803.9136,4.00460148509707,11.9382309107087,9931198662.3,41.98449338188743,
1981,28100606060.6061,58405658207.1948,7.92076357199763,333.45839209696,693.076043738388,3.2513223797928,,,27838462487.8788,57860806331.86862,8.204600301939124,3389497117.86622,5290494406.26096,18.2468409197915,6601897629.02912,18813277217.0518,-20.8920619482102,11.8799135925283,10580767699.9,37.65316547650213,
1982,30725971563.981,62223920402.9348,6.53748679998547,349.841762254772,708.473153496042,2.22156138518415,,,30403618323.2227,61571114930.11825,6.41247302529564,3154729520.61265,4973868093.60602,-5.98481518627506,6721839746.71199,18724251527.99,-0.473206704152233,5.90352878435857,11703994182.1,38.091534901438855,
